,1960,1960,1960,1960,1961,1961,1961,1961,1962,1962,1962,1962,1963,1963,1963,1963,1964,1964,1964,1964,1965,1965,1965,1965,1966,1966,1966,1966,1967,1967,1967,1967,1968,1968,1968,1968,1969,1969,1969,1969,1970,1970,1970,1970,1971,1971,1971,1971,1972,1972,1972,1972,1973,1973,1973,1973,1974,1974,1974,1974,1975,1975,1975,1975,1976,1976,1976,1976,1977,1977,1977,1977,1978,1978,1978,1978,1979,1979,1979,1979,1980,1980,1980,1980,1981,1981,1981,1981,1982,1982,1982,1982,1983,1983,1983,1983,1984,1984,1984,1984,1985,1985,1985,1985,1986,1986,1986,1986,1987,1987,1987,1987,1988,1988,1988,1988,1989,1989,1989,1989,1990,1990,1990,1990,1991,1991,1991,1991,1992,1992,1992,1992,1993,1993,1993,1993,1994,1994,1994,1994,1995,1995,1995,1995,1996,1996,1996,1996,1997,1997,1997,1997,1998,1998,1998,1998,1999,1999,1999,1999,2000,2000,2000,2000,2001,2001,2001,2001,2002,2002,2002,2002,2003,2003,2003,2003,2004,2004,2004,2004,2005,2005,2005,2005,2006,2006,2006,2006,2007,2007,2007,2007
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
        Gross domestic product,16.566,16.607,16.665,16.714,16.75,16.789,16.832,16.885,16.972,16.999,17.035,17.07,17.145,17.175,17.198,17.337,17.392,17.432,17.502,17.581,17.67,17.751,17.819,17.942,18.057,18.205,18.381,18.535,18.612,18.707,18.886,19.096,19.308,19.511,19.703,19.981,20.187,20.444,20.731,20.998,21.294,21.591,21.768,22.056,22.391,22.685,22.916,23.107,23.458,23.604,23.83,24.134,24.412,24.787,25.27,25.773,26.26,26.88,27.668,28.482,29.129,29.562,30.084,30.587,30.911,31.222,31.626,32.192,32.711,33.172,33.576,34.301,34.8,35.465,36.067,36.806,37.476,38.394,39.234,39.962,40.801,41.772,42.705,43.818,44.972,45.863,46.726,47.534,48.188,48.814,49.506,50.019,50.397,50.771,51.311,51.7,52.223,52.67,53.138,53.536,54.065,54.413,54.741,55.047,55.321,55.531,55.758,56.062,56.418,56.809,57.239,57.695,58.147,58.713,59.415,59.929,60.553,61.198,61.645,62.084,62.754,63.457,64.001,64.477,65.109,65.587,66.099,66.492,66.739,67.14,67.468,67.932,68.313,68.719,69.128,69.505,69.837,70.174,70.577,70.96,71.344,71.687,72.04,72.387,72.736,73.037,73.276,73.668,74.107,74.257,74.579,74.824,74.933,75.11,75.433,75.641,75.926,76.201,76.462,76.873,77.396,77.865,78.309,78.723,79.204,79.683,80.004,80.268,80.533,80.821,81.194,81.654,82.025,82.266,82.712,83.201,83.82,84.504,85.056,85.712,86.391,86.996,87.783,88.489,89.107,89.852,90.481,90.815,91.708,92.301,92.776,93.145
Personal consumption expenditures,16.36,16.445,16.507,16.58,16.611,16.609,16.668,16.686,16.758,16.818,16.863,16.914,16.963,16.99,17.071,17.135,17.216,17.253,17.31,17.367,17.423,17.511,17.576,17.63,17.766,17.911,18.048,18.187,18.24,18.327,18.497,18.655,18.853,19.045,19.242,19.456,19.645,19.896,20.14,20.373,20.609,20.837,21.04,21.313,21.514,21.759,21.972,22.108,22.34,22.469,22.666,22.852,23.129,23.575,24.005,24.498,25.227,25.942,26.64,27.315,27.825,28.164,28.69,29.172,29.495,29.743,30.196,30.673,31.226,31.76,32.237,32.695,33.23,33.912,34.508,35.161,35.825,36.805,37.719,38.633,39.793,40.768,41.723,42.756,43.866,44.602,45.336,46.03,46.612,47.059,47.8,48.326,48.724,49.169,49.815,50.146,50.69,51.183,51.579,51.897,52.508,52.934,53.349,53.722,54.105,54.049,54.334,54.662,55.175,55.706,56.232,56.718,57.165,57.797,58.509,59.101,59.781,60.588,60.946,61.427,62.319,62.886,63.685,64.527,64.866,65.219,65.661,66.136,66.55,66.992,67.419,67.889,68.294,68.753,69.052,69.45,69.699,70.088,70.591,70.923,71.27,71.685,71.978,72.294,72.696,73.182,73.494,73.995,74.323,74.509,74.706,74.941,74.947,75.081,75.313,75.51,75.707,76.12,76.523,76.975,77.618,77.967,78.45,78.885,79.421,79.794,79.842,79.891,80.038,80.648,81.041,81.416,81.99,82.011,82.517,82.895,83.583,84.155,84.579,85.301,85.787,86.302,87.225,87.907,88.354,89.065,89.708,89.557,90.402,91.136,91.65,92.551
    Goods,26.482,26.614,26.652,26.753,26.786,26.676,26.744,26.698,26.776,26.838,26.88,26.954,26.985,26.988,27.152,27.216,27.345,27.337,27.388,27.453,27.513,27.673,27.741,27.742,27.995,28.199,28.376,28.54,28.518,28.585,28.889,29.11,29.377,29.626,29.899,30.2,30.412,30.779,31.126,31.416,31.719,31.978,32.2,32.559,32.73,33.041,33.221,33.314,33.65,33.756,34.017,34.256,34.806,35.612,36.294,37.107,38.576,39.86,41.095,42.287,42.893,43.211,44.028,44.626,44.851,45.005,45.562,46.21,46.939,47.601,48.094,48.681,49.343,50.387,51.211,52.093,53.355,54.895,56.324,57.702,59.774,61.227,62.477,63.749,65.321,66.13,66.778,67.337,67.72,67.862,68.558,68.638,68.639,69.317,69.796,69.911,70.478,70.651,70.807,71.023,71.474,71.822,71.879,72.32,72.087,71.062,71.391,71.635,72.875,73.594,74.231,74.639,74.751,75.384,76.218,76.779,77.595,78.944,78.964,79.298,80.761,81.072,82.218,83.705,83.648,83.809,83.959,84.304,84.401,84.759,85.193,85.402,85.557,85.632,85.535,85.991,85.897,86.195,86.989,87.101,87.208,87.388,87.412,87.432,88.012,88.4,88.233,88.627,88.733,88.256,88.01,87.893,87.212,86.864,86.837,86.678,86.584,87.203,87.634,87.935,88.622,89.037,89.278,89.381,89.381,89.528,89.076,88.116,87.721,88.333,88.318,88.288,88.786,87.564,87.979,87.91,88.623,89.118,89.184,90.218,90.055,90.384,91.886,91.982,91.909,92.615,93.155,91.554,92.194,93.193,93.39,94.534
        Durable goods,57.062,56.994,56.819,56.718,56.725,56.992,57.252,57.182,57.193,57.269,57.458,57.231,57.248,57.421,57.582,57.764,57.849,57.817,57.757,57.645,57.659,57.48,57.194,56.876,56.797,57.037,57.288,57.548,57.429,57.68,58.314,58.9,59.278,59.638,60.135,60.687,61.046,61.509,61.807,62.194,62.306,62.553,63.013,64.058,64.959,65.416,65.267,64.93,65.489,65.824,66.157,65.942,66.212,66.74,67.085,67.325,68.108,69.846,72.498,74.729,75.837,77.16,77.988,79.193,80.294,81.207,82.203,83.596,84.446,84.868,85.743,86.884,88.124,89.467,90.921,92.523,94.042,95.709,96.817,98.566,101.455,103.853,105.751,107.572,108.949,111.006,112.642,114.095,115.032,115.909,116.308,116.634,117.459,117.893,118.539,119.284,119.33,120.082,120.328,120.555,121.172,121.453,121.24,121.543,121.554,122.103,123.119,123.818,124.871,125.857,126.764,127.286,127.07,127.777,128.689,129.647,130.303,130.409,130.703,131.132,131.832,131.846,131.904,132.169,133.298,133.631,134.125,134.414,134.409,134.774,134.883,135.09,135.015,135.723,136.381,137.281,137.6,138.424,139.405,139.649,140.215,140.068,139.621,139.312,139.418,138.499,138.139,137.543,137.016,135.7,134.798,134.055,133.082,132.095,131.086,130.105,128.999,128.346,127.744,126.977,126.379,126.11,125.341,125.048,124.501,123.623,122.806,122.192,121.106,120.492,119.896,119.113,117.607,116.34,115.164,114.101,113.98,113.869,112.991,113.143,112.903,112.745,111.933,111.673,111.203,110.687,110.195,109.495,108.929,108.408,107.654,107.19
        Nondurable goods,17.914,18.043,18.097,18.199,18.226,18.099,18.133,18.099,18.169,18.217,18.234,18.329,18.356,18.338,18.472,18.51,18.621,18.617,18.673,18.748,18.804,18.981,19.085,19.129,19.386,19.551,19.689,19.812,19.807,19.838,20.046,20.18,20.388,20.581,20.778,20.995,21.152,21.447,21.747,21.978,22.261,22.48,22.632,22.834,22.872,23.111,23.313,23.46,23.714,23.768,23.979,24.256,24.776,25.525,26.176,26.983,28.377,29.414,30.241,31.095,31.533,31.643,32.346,32.761,32.805,32.804,33.212,33.644,34.259,34.886,35.248,35.66,36.134,37.001,37.608,38.25,39.316,40.651,41.97,43.112,44.777,45.875,46.849,47.86,49.27,49.755,50.145,50.476,50.712,50.71,51.364,51.391,51.246,51.887,52.278,52.255,52.866,52.901,53.021,53.213,53.582,53.911,54.02,54.448,54.177,52.886,53.023,53.138,54.321,54.917,55.438,55.783,55.963,56.525,57.271,57.692,58.482,60.026,59.977,60.258,61.785,62.14,63.447,65.09,64.765,64.871,64.928,65.255,65.367,65.692,66.165,66.358,66.558,66.474,66.198,66.508,66.316,66.458,67.146,67.216,67.197,67.449,67.594,67.699,68.365,69.079,68.976,69.618,69.897,69.686,69.643,69.717,69.16,69.022,69.298,69.405,69.638,70.644,71.402,72.046,73.15,73.79,74.374,74.616,74.818,75.329,75.018,73.948,73.812,74.874,75.082,75.347,76.607,75.424,76.468,76.797,77.839,78.573,79.022,80.417,80.283,80.812,83.303,83.546,83.64,84.865,85.846,83.865,85.03,86.691,87.298,89.144
    Services,11.724,11.789,11.865,11.926,11.957,12.008,12.065,12.115,12.186,12.246,12.293,12.334,12.393,12.432,12.475,12.54,12.599,12.66,12.72,12.775,12.83,12.885,12.95,13.032,13.114,13.233,13.354,13.485,13.577,13.676,13.783,13.914,14.083,14.252,14.416,14.591,14.773,14.973,15.172,15.382,15.59,15.808,16.004,16.24,16.459,16.676,16.91,17.068,17.255,17.397,17.568,17.732,17.881,18.159,18.475,18.821,19.207,19.661,20.116,20.557,21.024,21.372,21.768,22.197,22.565,22.857,23.264,23.666,24.141,24.619,25.091,25.492,25.972,26.49,26.983,27.533,27.925,28.653,29.335,30.041,30.792,31.552,32.371,33.292,34.192,34.891,35.657,36.402,37.065,37.638,38.392,39.104,39.669,40.011,40.724,41.146,41.676,42.308,42.809,43.171,43.852,44.311,44.888,45.231,45.892,46.277,46.542,46.909,47.091,47.534,48.009,48.527,49.123,49.752,50.407,51.01,51.627,52.191,52.696,53.239,53.874,54.548,55.192,55.752,56.254,56.685,57.244,57.768,58.306,58.777,59.196,59.769,60.272,60.885,61.346,61.715,62.105,62.528,62.903,63.325,63.772,64.282,64.686,65.126,65.448,65.973,66.49,67.033,67.454,67.928,68.318,68.708,69.019,69.369,69.715,70.074,70.403,70.719,71.108,71.628,72.248,72.565,73.161,73.752,74.539,75.019,75.299,75.824,76.228,76.832,77.422,77.992,78.606,79.232,79.784,80.385,81.058,81.668,82.27,82.835,83.648,84.259,84.888,85.867,86.579,87.294,87.99,88.581,89.533,90.13,90.807,91.583
Gross private domestic investment,24.724,24.615,24.473,24.204,24.342,24.411,24.484,24.619,24.652,24.501,24.454,24.372,24.305,24.395,24.356,24.657,24.496,24.594,24.492,24.769,24.886,24.921,24.875,25.185,25.144,25.398,25.532,25.855,25.952,25.924,26.164,26.475,26.769,26.91,27.097,27.68,28.031,28.252,28.466,28.901,29.189,29.704,29.646,30.021,30.553,30.939,31.3,31.586,31.807,32.052,32.48,33.195,33.267,33.649,34.412,35.306,35.778,37.13,38.259,39.477,40.863,41.94,42.428,42.995,43.243,44.009,44.673,45.603,46.509,46.938,47.478,49.66,50.152,50.97,51.819,53.054,53.998,55.433,57.044,58.314,59.432,60.824,62.085,63.262,65.032,66.8,67.638,69.15,69.836,70.519,71.091,71.367,71.021,70.812,70.818,71.092,71.357,71.558,71.75,72.076,72.159,72.455,72.522,73.125,73.479,74.073,74.393,74.724,75.278,75.532,75.683,76.513,77.154,77.511,77.7,78.217,79.008,79.427,79.78,80.324,80.734,81.019,81.486,81.715,82.486,82.662,82.889,82.695,82.361,82.536,82.781,82.981,83.052,83.388,84.064,84.042,84.366,84.645,85.153,85.435,85.842,86.104,86.572,86.541,86.463,86.335,85.842,86.292,87.001,85.636,86.314,86.054,85.858,85.556,85.667,85.743,86.057,85.784,85.543,85.922,86.423,86.826,87.019,87.158,87.065,87.016,87.673,87.744,88.112,87.623,87.749,88.227,88.351,88.29,88.292,89.049,89.821,90.724,91.536,92.443,93.526,94.421,95.244,96.407,97.312,97.926,98.311,98.998,99.27,99.474,99.995,99.604
    Fixed investment,23.534,23.575,23.57,23.536,23.491,23.508,23.5,23.503,23.521,23.541,23.535,23.513,23.517,23.483,23.411,23.473,23.405,23.607,23.64,23.876,23.889,23.935,23.985,24.254,24.154,24.553,24.555,24.842,24.937,25.055,25.214,25.514,25.786,26.032,26.189,26.753,27.062,27.355,27.607,27.968,28.195,28.801,28.738,29.071,29.571,29.983,30.33,30.608,30.987,31.198,31.506,31.951,32.273,32.847,33.548,34.011,34.699,35.707,37.066,38.501,39.79,40.708,41.18,41.783,42.19,42.925,43.528,44.208,45.132,45.97,46.987,47.991,48.896,49.904,50.882,51.909,53.006,54.37,55.689,56.824,58.15,59.491,60.776,62.07,63.697,65.098,66.181,67.512,68.446,69.272,69.695,69.88,69.677,69.48,69.497,69.645,69.792,70.132,70.412,70.639,70.891,71.028,71.359,71.817,72.188,72.736,73.344,73.815,74.092,74.259,74.475,75.182,75.838,76.325,76.713,77.437,77.872,78.377,78.774,79.213,79.698,80.014,80.503,80.932,81.602,81.746,81.825,81.56,81.436,81.591,81.787,82.074,82.351,82.631,82.788,83.046,83.505,83.778,84.142,84.482,85.013,85.329,85.592,85.571,85.453,85.303,85.537,85.502,85.516,85.579,85.701,85.595,85.282,85.106,85.055,85.098,85.209,85.277,85.173,85.446,85.986,86.337,86.715,86.892,86.927,87.197,87.403,87.447,87.36,87.445,87.373,87.823,88.155,88.076,88.108,88.7,89.497,90.448,91.214,92.121,93.095,94.003,95.07,96.154,97.061,97.669,98.186,98.935,99.429,99.49,99.461,99.445
